"Category";"CommonName";"FullName";"ShortName";"OrgInfo";"ObjectAddress";"ChiefOrg";"ChiefName";"ChiefPosition";"PublicPhone";"Fax";"Email";"WorkingHours";"ClarificationOfWorkingHours";"WebSite";"global_id";"LandArea";"ExpositionArea";"TotalObjAmount";"PaintingsAmount";"GraphicsAmount";"SculptureAmount";"AppliedArtsAmount";"NumismatObjAmount";"ArchObjAmount";"EthnoObjAmount";"WeaponsObjAmount";"RarePaperAmount";"NatureObjAmount";"TechHistoryObjAmount";"OtherObjAmount";"TotalPreciousObjAmount";"geoData";"geodata_center";
"Музей";"Музей М. А. Булгакова";"Государственное бюджетное учреждение культуры города Москвы «Музей М. А. Булгакова»";"ГБУК г. Москвы «Музей М. А. Булгакова»";"nested data";"nested data";"Департамент культуры города Москвы";"Агафонова Валентина Олеговна";"директор";"nested data";"nested data";"nested data";"nested data";"Каждое третье воскресенье месяца музей работает бесплатно. Каждую среду - обзорные экскурсии в 18:00, 19:00, 20:00. Помещение в Б.Афанасьевском переулке закрыто на ремонт.";"bulgakovmuseum.ru";"2639270116";"1191";"131.1";"5254";"56";"310";"";"898";"";"";"";"";"478";"";"49";"3459";"4";"{coordinates=[[37.56569814, 55.729366217], [37.593928874, 55.76710141], [37.596077, 55.749641]], type=MultiPoint}";"";
"Музей";"Музей Зеленограда";"Государственное бюджетное учреждение культуры города Москвы «Музейное объединение «Музей Москвы», Музей Зеленограда";"ГБУК города Москвы «Музейное объединение «Музей Москвы», Музей Зеленограда";"nested data";"nested data";"Департамент культуры города Москвы";"Трапкова Анна Владимировна";"генеральный директор";"nested data";"nested data";"nested data";"nested data";"Последняя пятница месяца – санитарный день. Указано время работы музея по адресу: г. Москва, г. Зеленоград, корп.1410. Здание по адресу: г. Москва, Зеленоград, корп. 360 - на ремонте.";"mosmuseum.ru";"2639270127";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"{coordinates=[[37.146580433, 55.986681801]], type=MultiPoint}";"";
"Музей";"Музей «Дом Бурганова»";"Государственное бюджетное учреждение культуры города Москвы «Московский государственный музей «Дом Бурганова»";"ГБУК «МГМ «Дом Бурганова»";"nested data";"nested data";"Департамент культуры города Москвы";"Бурганов Александр Николаевич";"директор";"nested data";"nested data";"nested data";"nested data";"";"burganov.ru";"2639270138";"2391";"472";"863";"8";"332";"155";"46";"5";"";"";"";"138";"";"";"179";"";"{coordinates=[[37.597262019, 55.746592018], [37.59664576, 55.746965441]], type=MultiPoint}";"";
"Музей";"Мемориальный музей А.Н. Скрябина";"Государственное бюджетное учреждение культуры города Москвы «Мемориальный музей А.Н. Скрябина»";"ГБУК г. Москвы «Мемориальный музей А.Н. Скрябина»";"nested data";"nested data";"Департамент культуры города Москвы";"Лазарев Александр Иванович";"директор";"nested data";"nested data";"nested data";"nested data";"График работы Дома Скрябина - пн., вт. - выходной, ср.-вс. - 14:00-22:00.";"scriabinmuseum.ru";"2639270148";"1370";"166.3";"27859";"76";"447";"17";"606";"3";"";"606";"";"6783";"";"";"3933";"13";"{coordinates=[[37.590069272, 55.750797108], [37.589602279, 55.750697187]], type=MultiPoint}";"";
"Музей";"Московский зоопарк";"Государственное автономное учреждение города Москвы «Московский государственный зоологический парк»";"ГАУ «Московский зоопарк»";"nested data";"nested data";"Департамент культуры города Москвы";"Акулова Светлана Владимировна";"генеральный директор";"nested data";"nested data";"nested data";"nested data";"Кассы работают до 20.00. Вход в Зоопарк прекращается за час до закрытия, режим работы входов на территорию Зоопарка указан на официальном сайте. Часы работы зоопарка зависят от продолжительности светового дня и указаны на главной странице сайта.";"moscowzoo.ru";"2639270176";"2685650";"37819.9";"9270";"";"";"";"";"";"";"";"";"";"";"";"9270";"";"{coordinates=[[37.575711119, 55.764641273], [37.574338, 55.764013], [37.584111863, 55.763334795], [37.577445859, 55.7639383], [37.582419324, 55.760889734], [37.582248947, 55.763868788], [37.577492106, 55.7643606], [37.579157758, 55.762599551], [37.576633, 55.761168], [37.582102823, 55.760867097], [37.576656556, 55.764571412], [37.583341566, 55.76209498], [37.574676304, 55.762259249], [37.578416818, 55.76112312], [37.584516811, 55.76040077], [37.578202891, 55.763360117], [37.577289299, 55.764167055], [37.577713346, 55.765259508], [37.583012092, 55.764384744], [37.574380743, 55.76498834], [37.575531411, 55.762661423], [37.575896989, 55.76170225], [37.575885463, 55.761905372], [37.583936529, 55.761904628]], type=MultiPoint}";"";
"Музей";"Музей «Садовое кольцо»";"Государственное бюджетное учреждение культуры города Москвы «Музейное объединение «Музей Москвы», Музей «Садовое кольцо»";"ГБУК города Москвы «Музейное объединение «Музей Москвы», Музей «Садовое кольцо»";"nested data";"nested data";"Государственное бюджетное учреждение культуры города Москвы «Музейное объединение «Музей Москвы»";"Трапкова Анна Владимировна";"генеральный директор";"nested data";"nested data";"nested data";"nested data";"";"mosmuseum.ru";"2639270246";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"{coordinates=[[37.632684, 55.775066], [37.63273, 55.775635]], type=MultiPoint}";"";
"Музей";"Музейно-выставочное объединение «Манеж», Центральный выставочный зал «Манеж»";"Государственное бюджетное учреждение культуры города Москвы «Музейно-выставочное объединение «Манеж», Центральный выставочный зал «Манеж»";"ГБУК г. Москвы «МВО «Манеж», ЦВЗ «Манеж»";"nested data";"nested data";"Департамент культуры города Москвы";"Демидов Иван Иванович";"генеральный директор";"nested data";"nested data";"nested data";"nested data";"Продажа билетов и вход для посетителей до 21:30.";"moscowmanege.ru";"2639270252";"18444.9";"13597";"1608";"255";"";"";"";"";"";"";"";"";"";"";"";"";"{coordinates=[[37.612269884, 55.75337841]], type=MultiPoint}";"";
"Музей";"Биологический музей имени К.А. Тимирязева";"Государственное бюджетное учреждение культуры города Москвы «Государственный биологический музей имени К.А. Тимирязева»";"ГБУК г. Москвы ГБМТ";"nested data";"nested data";"Департамент культуры города Москвы";"Рябоконь Игорь Степанович";"директор";"nested data";"nested data";"nested data";"nested data";"Касса прекращает работу за час до закрытия музея. Последний вторник месяца - санитарный день.";"gbmt.ru";"2639270267";"2597.4";"920";"88010";"171";"3629";"499";"";"";"";"";"";"";"";"";"77658";"";"{coordinates=[[37.571549806, 55.764371301], [37.571118885, 55.764379784]], type=MultiPoint}";"";
"Музей";"Государственный музей - культурный центр «Интеграция» имени Н.А. Островского».";"Государственное бюджетное учреждение культуры города Москвы «Государственный музей - культурный центр «Интеграция» имени Н.А. Островского»";"ГБУК г. Москвы «ГМКЦ «Интеграция»";"nested data";"nested data";"Департамент культуры города Москвы";"Думенко Игорь Сергеевич";"директор";"nested data";"nested data";"nested data";"nested data";"Указано время работы музея на ул.Тверская, д.14. График работы Музея-квартиры И.Д.Сытина: вт - воскр. с 9 до 18ч., пон. - выходной.";"integratsia.su";"2639270271";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"{coordinates=[[37.60711174, 55.764262514], [37.6074054, 55.763789744]], type=MultiPoint}";"";
"Музей";"Московский музей современного искусства";"Государственное бюджетное учреждение культуры города Москвы «Московский музей современного искусства»";"ГБУК г. Москвы «Московский музей современного искусства»";"nested data";"nested data";"Департамент культуры города Москвы";"Церетели Зураб Константинович";"директор";"nested data";"nested data";"nested data";"nested data";"Кассы работают до 20:30. Музей Вадима Сидура и Музей-мастерская Д.А. Налбандяна работают с 14.00-21.00, пн., вт. – выходные дни. Вторник третьей недели месяца – вход свободный во все здания музея.";"mmoma.ru";"2639270272";"18297.3";"7058.82";"9360";"2560";"3241";"559";"420";"";"";"";"";"1324";"";"";"1256";"";"{coordinates=[[37.60038476, 55.746559336], [37.577006626, 55.76624681], [37.600266281, 55.747114047], [37.576702756, 55.766212709], [37.592133778, 55.765485975], [37.611099117, 55.762630382], [37.799046353, 55.753169303], [37.564031314, 55.744607418], [37.575964305, 55.766347378], [37.614296442, 55.767056477]], type=MultiPoint}";"";
"Музей";"Территория «Измайлово»";"Государственное бюджетное учреждение культуры города Москвы «Московский государственный объединенный художественный историко-архитектурный и природно-ландшафтный музей-заповедник», усадьба «Измайлово»";"Московский государственный объединенный музей-заповедник, Московский объединенный музей-заповедник, МГОМЗ, Территория усадьбы «Измайлово»";"nested data";"nested data";"Государственное бюджетное учреждение культуры города Москвы «Московский государственный объединенный художественный историко-архитектурный и природно-ландшафтный музей-заповедник»";"Люльчук Марина Васильевна";"директор";"nested data";"nested data";"nested data";"nested data";"Указан график работы с 01 апреля по 30 сентября. Территория открыта для посещения: с 1 октября по 30 апреля – с 08.00 до 21.00, с 1 мая по 30 сентября – с 07.00 до 24.00. Время работы экспозиций и выставок с 1 октября по 31 марта – с 10.00 до 18.00, пон.- выходной.";"mgomz.ru";"2639270310";"200755";"464.6";"35230";"";"";"";"";"";"";"";"";"";"";"";"";"";"{coordinates=[[37.763534556, 55.792664161], [37.765516653, 55.790919154], [37.759525495, 55.791248871], [37.759334651, 55.792653941], [37.759068226, 55.791675636]], type=MultiPoint}";"";
"Музей";"Дом-музей И.С. Тургенева";"Государственное бюджетное учреждение культуры города Москвы «Государственный музей А.С. Пушкина», Дом-музей И.С. Тургенева";"ГБУК «ГМП», Дом-музей И.С. Тургенева";"nested data";"nested data";"Государственное бюджетное учреждение культуры города Москвы «Государственный музей А.С. Пушкина»";"Богатырев Евгений Анатольевич";"директор";"nested data";"nested data";"nested data";"nested data";"Касса до 17.30, в четверг до 20.30.";"pushkinmuseum.ru";"2639270336";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"{coordinates=[[37.596097207, 55.738795271]], type=MultiPoint}";"";
"Музей";"Государственный музей Владимира Высоцкого";"Государственное бюджетное учреждение культуры города Москвы «Государственный музей Владимира Высоцкого»";"ГБУК г. Москвы «Государственный музей Владимира Высоцкого»";"nested data";"nested data";"Департамент культуры города Москвы";"Высоцкий Никита Владимирович";"директор";"nested data";"nested data";"nested data";"nested data";"Указано время работы экспозиции Музея. Время работы мемориального кабинета В.С.Высоцкого расписано на сайте. Санитарный день - последняя Пятница месяца. Акция &quot;Бесплатное посещение&quot; - ЧЕТВЕРГ третьей недели каждого месяца. Для всех посетителей: экскурсионное обслуживание - на платной основе.";"visotsky.ru";"2639270341";"2726.2";"567.2";"52924";"144";"664";"86";"287";"200";"";"";"";"26885";"";"60";"24598";"";"{coordinates=[[37.65154424, 55.744614761]], type=MultiPoint}";"";
"Музей";"Мемориальный музей космонавтики, Мемориальный дом-музей академика С. П. Королева";"Государственное бюджетное учреждение культуры города Москвы «Мемориальный музей космонавтики», Мемориальный дом-музей академика С. П. Королева";"ГБУК г. Москвы «Мемориальный музей космонавтики», Мемориальный дом-музей академика С. П. Королева";"nested data";"nested data";"Государственное бюджетное учреждение культуры города Москвы «Мемориальный музей космонавтики»";"Артюхина Наталья Витальевна";"директор";"nested data";"nested data";"nested data";"nested data";"Кассы закрываются за полчаса до закрытия музея. Последняя пятница каждого месяца — санитарный день";"kosmo-museum.ru";"2639270359";"325.9";"325.9";"12035";"";"";"";"";"";"";"";"";"";"";"";"";"";"{coordinates=[[37.63210631, 55.823244275]], type=MultiPoint}";"";
"Музей";"Музей Героев Советского Союза и Российской Федерации, Музей обороны Москвы";"Государственное бюджетное учреждение культуры города Москвы «Государственный музей обороны Москвы», Музей Героев Советского Союза и Российской Федерации";"ГБУК г. Москвы «Государственный музей обороны Москвы», Музей Героев Советского Союза и Российской Федерации";"nested data";"nested data";"Департамент культуры города Москвы";"Сереброва Елена Владимировна";"директор";"nested data";"nested data";"nested data";"nested data";"Касса закрывается в 17.30, в четверг - 20.30. Последняя пятница месяца - санитарный день.";"gmom.ru";"2660559399";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"{coordinates=[[37.583866334, 55.681823945]], type=MultiPoint}";"";
"Музей";"Музей-панорама «Бородинская битва»";"Государственное бюджетное учреждение культуры города Москвы «Музей-панорама «Бородинская битва»";"ГБУК «Музей-панорама «Бородинская битва»";"nested data";"nested data";"Департамент культуры города Москвы";"Преснов Владимир Александрович";"директор";"nested data";"nested data";"nested data";"nested data";"Указан график работы музея «Кутузовская изба и Каретный сарай» (посещение по сеансам каждый час) и «Музея Героев Советского Союза и России». Музей-панорама «Бородинская битва» открыт с 10 до 18ч., в четверг с 10:00 до 21:00. Музей закрыт в пятницу. Вход в музей прекращается за 45 минут до закрытия. Для организованных групп экскурсионное обслуживание проводится по предварительной записи. Для индивидуальных посетителей в субботу и воскресенье c 12:00 до 16:00 по сеансам каждый час проводятся сборные обзорные экскурсии.";"1812panorama.ru";"2660559403";"6553";"3768.1";"42947";"737";"21720";"96";"1797";"1979";"";"";"511";"13949";"";"";"1222";"274";"{coordinates=[[37.52310804, 55.739765638], [37.523261737, 55.738857794]], type=MultiPoint}";"";
